price,location
134,sfbay
134,sfbay
8950,sfbay
8950,sfbay
26400,losangeles
26400,losangeles
30400,losangeles
30400,losangeles
50,losangeles
50,losangeles
50,losangeles
50,losangeles
85,losangeles
85,losangeles
31500,losangeles
31500,losangeles
49900,losangeles
49900,losangeles
26400,losangeles
26400,losangeles
42900,losangeles
42900,losangeles
50,sandiego
42900,losangeles
42900,losangeles
26400,losangeles
26400,losangeles
31500,losangeles
31500,losangeles
42900,losangeles
42900,losangeles
50,losangeles
50,losangeles
30400,losangeles
30400,losangeles
42900,losangeles
42900,losangeles
100,losangeles
100,losangeles
1200,losangeles
1200,losangeles
50,sandiego
4545,sandiego
4545,sandiego
40,sandiego
40,sandiego
22000,sandiego
22000,sandiego
10000,sandiego
10000,sandiego
6500,sandiego
6500,sandiego
9500,losangeles
9500,losangeles
259,losangeles
31300,philadelphia
15,sandiego
15,sandiego
800,sandiego
800,sandiego
8000,sandiego
8000,sandiego
190,sandiego
190,sandiego
49,sandiego
49,sandiego
80,sandiego
80,sandiego
6900,sandiego
259,losangeles
359,losangeles
359,losangeles
259,losangeles
259,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
189,losangeles
189,losangeles
189,losangeles
189,losangeles
359,losangeles
359,losangeles
31300,philadelphia
23995,philadelphia
23995,philadelphia
1,philadelphia
1,philadelphia
4500,philadelphia
4500,philadelphia
1000,philadelphia
6900,sandiego
20,sandiego
20,sandiego
89995,sandiego
89995,sandiego
129,sandiego
129,sandiego
179,sandiego
179,sandiego
299,sandiego
299,sandiego
179,sandiego
179,sandiego
3000,sandiego
3000,sandiego
189,losangeles
189,losangeles
8000,losangeles
8000,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
189,losangeles
189,losangeles
359,losangeles
359,losangeles
11850,losangeles
11850,losangeles
359,losangeles
359,losangeles
1000,philadelphia
7900,philadelphia
7900,philadelphia
8800,philadelphia
8800,philadelphia
6000,philadelphia
6000,philadelphia
950,philadelphia
950,philadelphia
27999,philadelphia
27999,philadelphia
1,philadelphia
1,philadelphia
1,philadelphia
1,philadelphia
20,philadelphia
135000,sandiego
135000,sandiego
125,sandiego
125,sandiego
45,sandiego
45,sandiego
100,sandiego
100,sandiego
125,sandiego
125,sandiego
4500,sandiego
4500,sandiego
28900,sandiego
28900,sandiego
99,sandiego
6750,houston
459,losangeles
459,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
459,losangeles
119,chicago
20,philadelphia
16999,philadelphia
16999,philadelphia
5499,philadelphia
5499,philadelphia
2500,philadelphia
2500,philadelphia
39500,philadelphia
39500,philadelphia
99,sandiego
95,sandiego
95,sandiego
25,sandiego
25,sandiego
27500,sandiego
27500,sandiego
75,sandiego
75,sandiego
75,sandiego
75,sandiego
6750,houston
500,houston
500,houston
375,houston
375,houston
4000,houston
4000,houston
15,houston
15,houston
89,houston
89,houston
475,houston
475,houston
450,houston
450,houston
89,houston
89,houston
459,losangeles
359,losangeles
359,losangeles
359,losangeles
359,losangeles
500,losangeles
500,losangeles
119,chicago
79,chicago
79,chicago
6000,chicago
6000,chicago
3550,chicago
3550,chicago
39000,chicago
39000,chicago
10,chicago
10,chicago
8500,chicago
8500,chicago
8500,chicago
8500,chicago
5800,chicago
5800,chicago
395,chicago
395,chicago
275,chicago
17500,philadelphia
17500,philadelphia
5499,philadelphia
5499,philadelphia
7999,philadelphia
7999,philadelphia
17499,philadelphia
17499,philadelphia
56999,philadelphia
56999,philadelphia
7999,philadelphia
7999,philadelphia
16999,philadelphia
16999,philadelphia
75,sandiego
75,sandiego
36880,sandiego
36880,sandiego
84995,sandiego
84995,sandiego
50,sandiego
50,sandiego
200,sandiego
200,sandiego
100,sandiego
100,sandiego
600,sandiego
600,sandiego
7999,sandiego
7999,sandiego
13995,sandiego
3000,dallas
225,phoenix
5000,houston
5000,houston
6600,houston
6600,houston
6500,houston
6500,houston
1,houston
1,houston
129,houston
129,houston
1,houston
1,houston
4500,houston
4500,houston
1,houston
1,houston
85000,houston
60,losangeles
60,losangeles
80,losangeles
80,losangeles
100,losangeles
275,chicago
199,chicago
199,chicago
50000,chicago
50000,chicago
15450,chicago
15450,chicago
84,chicago
84,chicago
29500,chicago
29500,chicago
600,chicago
600,chicago
10000,chicago
10000,chicago
850,chicago
850,chicago
850,chicago
850,chicago
6999,philadelphia
6999,philadelphia
4999,philadelphia
4999,philadelphia
17999,philadelphia
17999,philadelphia
17499,philadelphia
17499,philadelphia
16999,philadelphia
16999,philadelphia
4999,philadelphia
4999,philadelphia
7999,philadelphia
7999,philadelphia
13995,sandiego
54995,sandiego
54995,sandiego
130,sandiego
130,sandiego
4100,sandiego
4100,sandiego
99,sandiego
99,sandiego
